[2026-07-25 15:48:18,622:INFO:main:welcome to our custom log]
[2026-07-25 15:56:51,820:INFO:main:welcome to our custom log]
[2026-07-30 00:30:44,787:INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-07-30 00:30:44,794:INFO:common:yaml file: params.yaml loaded successfully]
[2026-07-30 00:30:44,796:INFO:common:created directory at: artifacts]
[2026-07-30 00:35:32,963:INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-07-30 00:35:32,964:INFO:common:yaml file: params.yaml loaded successfully]
[2026-07-30 00:35:32,965:INFO:common:created directory at: artifacts]
[2026-07-30 00:35:32,967:INFO:common:created directory at: artifacts/data_ingestion]
[2026-07-30 00:35:32,968:INFO:1091974511:Downloading data from https://drive.google.com/file/d/1LOnCl39VSB_9LJamurM7WR_6GiBmq99m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-07-30 00:35:49,084:INFO:1091974511:Downloaded data from https://drive.google.com/file/d/1LOnCl39VSB_9LJamurM7WR_6GiBmq99m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-07-30 23:34:22,681:INFO:main:>>>>>> stage Data Ingestion stage started <<<<<<]
[2026-07-30 23:34:22,696:INFO:common:yaml file: config\config.yaml loaded successfully]
[2026-07-30 23:34:22,705:INFO:common:yaml file: params.yaml loaded successfully]
[2026-07-30 23:34:22,706:INFO:common:created directory at: artifacts]
[2026-07-30 23:34:22,707:INFO:common:created directory at: artifacts/data_ingestion]
[2026-07-30 23:34:22,707:INFO:Data_ingestion:Downloading data from https://drive.google.com/file/d/1LOnCl39VSB_9LJamurM7WR_6GiBmq99m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-07-30 23:34:41,738:INFO:Data_ingestion:Downloaded data from https://drive.google.com/file/d/1LOnCl39VSB_9LJamurM7WR_6GiBmq99m/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-07-30 23:34:42,320:INFO:main:>>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
